Familienavn,Vitenskapelig navn,Slekt - Norsk,Art - Norsk,Sjikt,bilde_url,wikipedia_url,bilde_status
Poaceae,Milium effusum,Myskegras,Myskegras,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Milium.effusum.2.jpg/500px-Milium.effusum.2.jpg,https://en.wikipedia.org/wiki/Milium_effusum,FUNNET
Salicaceae,Populus tremula,Osp,Osp,Tresjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Osp01.jpg/500px-Osp01.jpg,https://no.wikipedia.org/wiki/Osp,FUNNET
Myricaceae,Myrica gale,Pors,Pors,Busksjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Myrica_gale_hunlig.JPG/500px-Myrica_gale_hunlig.JPG,https://no.wikipedia.org/wiki/Pors,FUNNET
Adoxaceae,Sambucus racemosa,Hyll,Raudhyll,Busksjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Sambucus_racemosa_a1.jpg/500px-Sambucus_racemosa_a1.jpg,https://no.wikipedia.org/wiki/R%C3%B8dhyll,FUNNET
Asteraceae,Tanacetum vulgare,Reinfann,Reinfann,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Tanacetum_vulgare_-_harilik_soolikarohi_Keilas2.jpg/500px-Tanacetum_vulgare_-_harilik_soolikarohi_Keilas2.jpg,https://no.wikipedia.org/wiki/Reinfann,FUNNET
Brassicaceae,Brassica rapa subsp. campestris,Skolm,Rundskolm,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Illustration_Anthyllis_vulneraria0.jpg/500px-Illustration_Anthyllis_vulneraria0.jpg,https://no.wikipedia.org/wiki/Rundbelg,FUNNET
Brassicaceae,Thlaspi arvense,Soldogg,Rundsoldogg,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Thlaspi_arvense.jpeg/500px-Thlaspi_arvense.jpeg,https://en.wikipedia.org/wiki/Thlaspi_arvense,FUNNET
Rosaceae,Rosa rugosa,Rose,Rynkerose,Busksjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Kartoffelrose_Bl%C3%BCte_und_Hagebutte.JPG/500px-Kartoffelrose_Bl%C3%BCte_und_Hagebutte.JPG,https://no.wikipedia.org/wiki/Rynkerose,FUNNET
Ericaceae,Arctostaphylos alpina,Bær,Rypebær,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Arctostaphylos_alpina_no.jpg/500px-Arctostaphylos_alpina_no.jpg,https://no.wikipedia.org/wiki/Rypeb%C3%A6r,FUNNET
Poaceae,Holcus lanatus,Hønsegras,Rød kjertelhønsegras,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Holcus_lanatus_Gestreepte_witbol_%282%29.jpg/500px-Holcus_lanatus_Gestreepte_witbol_%282%29.jpg,https://en.wikipedia.org/wiki/Holcus_lanatus,FUNNET
